account_id,district_id,frequency,date
3834,54,POPLATEK MESICNE,1993/1/19 0:00
1222,66,POPLATEK MESICNE,1993/1/20 0:00
212,27,POPLATEK TYDNE,1993/1/20 0:00
456,49,POPLATEK MESICNE,1993/1/21 0:00
459,47,POPLATEK MESICNE,1993/1/21 0:00
772,45,POPLATEK MESICNE,1993/1/21 0:00
1019,52,POPLATEK MESICNE,1993/1/21 0:00
11295,74,POPLATEK MESICNE,1993/1/21 0:00
2970,60,POPLATEK MESICNE,1993/1/22 0:00
2676,73,POPLATEK MESICNE,1993/1/22 0:00
1536,41,POPLATEK TYDNE,1993/1/22 0:00
1179,74,POPLATEK MESICNE,1993/1/23 0:00
280,25,POPLATEK MESICNE,1993/1/23 0:00
2425,41,POPLATEK MESICNE,1993/1/23 0:00
9307,68,POPLATEK MESICNE,1993/1/24 0:00
4055,23,POPLATEK MESICNE,1993/1/24 0:00
5065,66,POPLATEK MESICNE,1993/1/24 0:00
3704,75,POPLATEK MESICNE,1993/1/24 0:00
477,1,POPLATEK MESICNE,1993/1/25 0:00
5891,54,POPLATEK MESICNE,1993/1/25 0:00
1000,77,POPLATEK MESICNE,1993/1/25 0:00
1750,1,POPLATEK MESICNE,1993/1/26 0:00
2023,68,POPLATEK MESICNE,1993/1/26 0:00
6473,12,POPLATEK MESICNE,1993/1/26 0:00
1649,46,POPLATEK MESICNE,1993/1/26 0:00
2670,13,POPLATEK MESICNE,1993/1/27 0:00
1127,27,POPLATEK MESICNE,1993/1/27 0:00
163,30,POPLATEK MESICNE,1993/1/27 0:00
2566,48,POPLATEK MESICNE,1993/1/27 0:00
9,70,POPLATEK MESICNE,1993/1/27 0:00
1144,59,POPLATEK MESICNE,1993/1/28 0:00
2902,32,POPLATEK MESICNE,1993/1/28 0:00
4296,63,POPLATEK MESICNE,1993/1/28 0:00
443,64,POPLATEK MESICNE,1993/1/28 0:00
3693,61,POPLATEK MESICNE,1993/1/29 0:00
2070,72,POPLATEK MESICNE,1993/1/29 0:00
1843,12,POPLATEK MESICNE,1993/1/30 0:00
2714,1,POPLATEK MESICNE,1993/1/30 0:00
4078,40,POPLATEK MESICNE,1993/1/30 0:00
1675_[typo],36,POPLATEK MESICNE,1993/2/1 0:00
5868,44,POPLATEK MESICNE,1993/2/2 0:00
1805,1,POPLATEK MESICNE,1993/2/2 0:00
2434,17,POPLATEK MESICNE,1993/2/2 0:00
3007,16,POPLATEK MESICNE,1993/2/2 0:00
2574,68,POPLATEK MESICNE,1993/2/2 0:00
862,64,POPLATEK TYDNE,1993/2/2 0:00
1132,1,POPLATEK TYDNE,1993/2/3 0:00
4484,54,POPLATEK MESICNE,1993/2/3 0:00
943,1,POPLATEK MESICNE,1993/2/3 0:00
3514,7,POPLATEK MESICNE,1993/2/3 0:00
3983,67,POPLATEK MESICNE,1993/2/4 0:00
9265,1,POPLATEK MESICNE,1993/2/4 0:00
465,32,POPLATEK MESICNE,1993/2/4 0:00
982,54,POPLATEK MESICNE,1993/2/5 0:00
411,70,POPLATEK MESICNE,1993/2/5 0:00
890,14,POPLATEK MESICNE,1993/2/5 0:00
627,63,POPLATEK MESICNE,1993/2/5 0:00
2429,61,POPLATEK MESICNE,1993/2/6 0:00
3960,64,POPLATEK MESICNE,1993/2/6 0:00
2256,48,POPLATEK MESICNE,1993/2/6 0:00
8051,1,POPLATEK TYDNE,1993/2/7 0:00
2647,73,POPLATEK MESICNE,1993/2/8 0:00
2241,6,POPLATEK MESICNE,1993/2/8 0:00
5622,70,POPLATEK MESICNE,1993/2/8 0:00
2884,1,POPLATEK MESICNE,1993/2/8 0:00
1830,10,POPLATEK MESICNE,1993/2/8 0:00
7753,74,POPLATEK MESICNE,1993/2/8 0:00
244,24,POPLATEK MESICNE,1993/2/8 0:00
1477,1,POPLATEK MESICNE,1993/2/8 0:00
4240,50,POPLATEK MESICNE,1993/2/8 0:00
1006,6,POPLATEK MESICNE,1993/2/8 0:00
830,74,POPLATEK MESICNE,1993/2/8 0:00
9188,45,POPLATEK MESICNE,1993/2/8 0:00
1965,57,POPLATEK PO OBRATU,1993/2/8 0:00
1134,6,POPLATEK MESICNE,1993/2/9 0:00
1601,10,POPLATEK MESICNE,1993/2/9 0:00
2861,38,POPLATEK MESICNE,1993/2/10 0:00
813,16,POPLATEK MESICNE,1993/2/10 0:00
2585,75,POPLATEK MESICNE,1993/2/10 0:00
2220,16,POPLATEK MESICNE,1993/2/10 0:00
2763,64,POPLATEK MESICNE,1993/2/11 0:00
2342,51,POPLATEK MESICNE,1993/2/11 0:00
1944,72,POPLATEK MESICNE,1993/2/12 0:00
1966,27,POPLATEK MESICNE,1993/2/12 0:00
"1801_[I'm typo, 2]",46,POPLATEK MESICNE,1993/2/13 0:00
2543,68,POPLATEK MESICNE,1993/2/13 0:00
2293,31,POPLATEK MESICNE,1993/2/13 0:00
11013,1,POPLATEK TYDNE,1993/2/14 0:00
2423,30,POPLATEK MESICNE,1993/2/14 0:00
142,51,POPLATEK MESICNE,1993/2/15 0:00
3424,74,POPLATEK MESICNE,1993/2/16 0:00
539,13,POPLATEK PO OBRATU,1993/2/16 0:00
979,21,POPLATEK MESICNE,1993/2/16 0:00
3554,66,POPLATEK MESICNE,1993/2/16 0:00
3545,51,POPLATEK MESICNE,1993/2/17 0:00
3047,16,POPLATEK MESICNE,1993/2/17 0:00
3374,21,POPLATEK MESICNE,1993/2/17 0:00
96,68,POPLATEK MESICNE,1993/2/18 0:00
461,30,POPLATEK MESICNE,1993/2/18 0:00
3593,1,POPLATEK MESICNE,1993/2/18 0:00
3026,24,POPLATEK MESICNE,1993/2/18 0:00
1054,10,POPLATEK MESICNE,1993/2/19 0:00
2433,71,POPLATEK MESICNE,1993/2/19 0:00
3691,50,POPLATEK MESICNE,1993/2/19 0:00
3787,70,POPLATEK MESICNE,1993/2/19 0:00
128,2,POPLATEK MESICNE,1993/2/19 0:00
3168,39,POPLATEK MESICNE,1993/2/20 0:00
4937,12,POPLATEK MESICNE,1993/2/20 0:00
2124,69,POPLATEK MESICNE,1993/2/20 0:00
322,1,POPLATEK MESICNE,1993/2/20 0:00
4355,31,POPLATEK MESICNE,1993/2/21 0:00
1678,1,POPLATEK MESICNE,1993/2/22 0:00
2396,2,POPLATEK MESICNE,1993/2/22 0:00
1005,54,POPLATEK TYDNE,1993/2/23 0:00
697,28,POPLATEK MESICNE,1993/2/23 0:00
925,59,POPLATEK MESICNE,1993/2/23 0:00
2110,64,POPLATEK MESICNE,1993/2/23 0:00
1366,60,POPLATEK MESICNE,1993/2/24 0:00
1050,57,POPLATEK PO OBRATU,1993/2/24 0:00
3117,33,POPLATEK MESICNE,1993/2/24 0:00
562,50,POPLATEK MESICNE,1993/2/25 0:00
5369,54,POPLATEK MESICNE,1993/2/25 0:00
2242,7,POPLATEK TYDNE,1993/2/25 0:00
197,1,POPLATEK MESICNE,1993/2/25 0:00
496,69,POPLATEK MESICNE,1993/2/26 0:00
2,1,POPLATEK MESICNE,1993/2/26 0:00
7401,1,POPLATEK MESICNE,1993/2/26 0:00
2486,1,POPLATEK MESICNE,1993/2/27 0:00
428,1,POPLATEK MESICNE,1993/2/27 0:00
3651,23,POPLATEK MESICNE,1993/2/27 0:00
1775,17,POPLATEK MESICNE,1993/2/27 0:00
1688,70,POPLATEK MESICNE,1993/2/27 0:00
361,51,POPLATEK MESICNE,1993/2/27 0:00
1829,43,POPLATEK MESICNE,1993/2/27 0:00
1575,1,POPLATEK MESICNE,1993/2/27 0:00
9203,70,POPLATEK MESICNE,1993/2/27 0:00
3008,72,POPLATEK MESICNE,1993/2/27 0:00
239,69,POPLATEK TYDNE,1993/3/1 0:00
3302,21,POPLATEK MESICNE,1993/3/2 0:00
415,25,POPLATEK MESICNE,1993/3/3 0:00
3513,20,POPLATEK MESICNE,1993/3/3 0:00
4134,7,POPLATEK MESICNE,1993/3/3 0:00
1077,14,POPLATEK MESICNE,1993/3/3 0:00
1713,43,POPLATEK MESICNE,1993/3/3 0:00
1378,59,POPLATEK MESICNE,1993/3/4 0:00
2503,1,POPLATEK MESICNE,1993/3/5 0:00
559,46,POPLATEK MESICNE,1993/3/5 0:00
6555,38,POPLATEK TYDNE,1993/3/5 0:00
744,42,POPLATEK MESICNE,1993/3/6 0:00
882,9,POPLATEK MESICNE,1993/3/6 0:00
86,54,POPLATEK MESICNE,1993/3/7 0:00
1126,56,POPLATEK MESICNE,1993/3/8 0:00
2666,49,POPLATEK MESICNE,1993/3/8 0:00
944,70,POPLATEK MESICNE,1993/3/8 0:00
1545,1,POPLATEK MESICNE,1993/3/8 0:00
2453,1,POPLATEK MESICNE,1993/3/8 0:00
3734,43,POPLATEK MESICNE,1993/3/8 0:00
3935,23,POPLATEK MESICNE,1993/3/8 0:00
396,21,POPLATEK MESICNE,1993/3/8 0:00
2694,7,POPLATEK MESICNE,1993/3/8 0:00
4596,74,POPLATEK MESICNE,1993/3/9 0:00
2489,72,POPLATEK MESICNE,1993/3/9 0:00
2895,19,POPLATEK MESICNE,1993/3/9 0:00
317,76,POPLATEK MESICNE,1993/3/10 0:00
2555,53,POPLATEK MESICNE,1993/3/10 0:00
494,60,POPLATEK MESICNE,1993/3/11 0:00
2219,60,POPLATEK MESICNE,1993/3/11 0:00
2581,72,POPLATEK MESICNE,1993/3/11 0:00
112,6,POPLATEK MESICNE,1993/3/12 0:00
3674,38,POPLATEK MESICNE,1993/3/12 0:00
2039,44,POPLATEK MESICNE,1993/3/12 0:00
2712,9,POPLATEK MESICNE,1993/3/12 0:00
395,1,POPLATEK MESICNE,1993/3/12 0:00
2974,9,POPLATEK MESICNE,1993/3/13 0:00
123,21,POPLATEK MESICNE,1993/3/13 0:00
9640,1,POPLATEK MESICNE,1993/3/13 0:00
3108,53,POPLATEK MESICNE,1993/3/14 0:00
2508,34,POPLATEK MESICNE,1993/3/14 0:00
2458,40,POPLATEK TYDNE,1993/3/14 0:00
588,66,POPLATEK MESICNE,1993/3/14 0:00
7231,10,POPLATEK MESICNE,1993/3/14 0:00
6701,49,POPLATEK TYDNE,1993/3/15 0:00
3883,72,POPLATEK MESICNE,1993/3/15 0:00
222,37,POPLATEK MESICNE,1993/3/15 0:00
2497,65,POPLATEK MESICNE,1993/3/16 0:00
1372,1,POPLATEK MESICNE,1993/3/16 0:00
3835,50,POPLATEK MESICNE,1993/3/16 0:00
7445,64,POPLATEK MESICNE,1993/3/18 0:00
2527,38,POPLATEK MESICNE,1993/3/19 0:00
425,9,POPLATEK MESICNE,1993/3/19 0:00
860,1,POPLATEK MESICNE,1993/3/19 0:00
6034,6,POPLATEK TYDNE,1993/3/19 0:00
11065,11,POPLATEK MESICNE,1993/3/19 0:00
9883,1,POPLATEK MESICNE,1993/3/19 0:00
115,68,POPLATEK MESICNE,1993/3/19 0:00
1189,59,POPLATEK MESICNE,1993/3/19 0:00
3675,64,POPLATEK MESICNE,1993/3/20 0:00
3069,66,POPLATEK MESICNE,1993/3/20 0:00
2762,19,POPLATEK MESICNE,1993/3/20 0:00
892,70,POPLATEK MESICNE,1993/3/20 0:00
1535,46,POPLATEK MESICNE,1993/3/20 0:00
2618,60,POPLATEK MESICNE,1993/3/21 0:00
2651,2,POPLATEK MESICNE,1993/3/21 0:00
5442,34,POPLATEK MESICNE,1993/3/22 0:00
1787,30,POPLATEK TYDNE,1993/3/22 0:00
1397,17,POPLATEK MESICNE,1993/3/22 0:00
3785,10,POPLATEK MESICNE,1993/3/24 0:00
623,1,POPLATEK MESICNE,1993/3/24 0:00
8260,31,POPLATEK MESICNE,1993/3/24 0:00
3678,1,POPLATEK MESICNE,1993/3/24 0:00
3001,1,POPLATEK MESICNE,1993/3/24 0:00
655,53,POPLATEK MESICNE,1993/3/24 0:00
4093,1,POPLATEK MESICNE,1993/3/25 0:00
3260,68,POPLATEK MESICNE,1993/3/25 0:00
2528,65,POPLATEK MESICNE,1993/3/25 0:00
2011,75,POPLATEK MESICNE,1993/3/25 0:00
1721,68,POPLATEK MESICNE,1993/3/25 0:00
1332,59,POPLATEK MESICNE,1993/3/25 0:00
1402,74,POPLATEK MESICNE,1993/3/26 0:00
3283,68,POPLATEK MESICNE,1993/3/26 0:00
3781,31,POPLATEK MESICNE,1993/3/26 0:00
7203,71,POPLATEK MESICNE,1993/3/26 0:00
1065,72,POPLATEK MESICNE,1993/3/27 0:00
3076,54,POPLATEK MESICNE,1993/3/27 0:00
4347,1,POPLATEK MESICNE,1993/3/27 0:00
1157,7,POPLATEK MESICNE,1993/3/27 0:00
9403,1,POPLATEK TYDNE,1993/3/27 0:00
1874,9,POPLATEK MESICNE,1993/3/27 0:00
1115,34,POPLATEK MESICNE,1993/3/27 0:00
3586,59,POPLATEK MESICNE,1993/3/27 0:00
62,47,POPLATEK MESICNE,1993/3/28 0:00
1771,69,POPLATEK MESICNE,1993/3/28 0:00
5483,13,POPLATEK MESICNE,1993/3/28 0:00
8330,48,POPLATEK MESICNE,1993/3/28 0:00
187,5,POPLATEK MESICNE,1993/3/28 0:00
423,12,POPLATEK MESICNE,1993/3/28 0:00
6425,31,POPLATEK MESICNE,1993/3/29 0:00
2493,62,POPLATEK MESICNE,1993/3/29 0:00
2896,29,POPLATEK MESICNE,1993/3/30 0:00
2245,29,POPLATEK MESICNE,1993/3/30 0:00
3923,52,POPLATEK MESICNE,1993/3/30 0:00
1898,70,POPLATEK MESICNE,1993/4/1 0:00
3367,1,POPLATEK MESICNE,1993/4/1 0:00
3391,74,POPLATEK MESICNE,1993/4/1 0:00
8519,23,POPLATEK MESICNE,1993/4/2 0:00
1780,1,POPLATEK MESICNE,1993/4/2 0:00
3915,65,POPLATEK MESICNE,1993/4/2 0:00
3980,75,POPLATEK MESICNE,1993/4/3 0:00
4350,63,POPLATEK MESICNE,1993/4/4 0:00
686,41,POPLATEK MESICNE,1993/4/4 0:00
362,15,POPLATEK MESICNE,1993/4/4 0:00
299,77,POPLATEK MESICNE,1993/4/5 0:00
2488,5,POPLATEK MESICNE,1993/4/6 0:00
2985,71,POPLATEK MESICNE,1993/4/6 0:00
385,5,POPLATEK MESICNE,1993/4/7 0:00
2817,56,POPLATEK MESICNE,1993/4/7 0:00
2056,58,POPLATEK MESICNE,1993/4/7 0:00
2002,1,POPLATEK MESICNE,1993/4/8 0:00
748,10,POPLATEK MESICNE,1993/4/8 0:00
220,72,POPLATEK MESICNE,1993/4/9 0:00
1422,68,POPLATEK MESICNE,1993/4/9 0:00
1147,44,POPLATEK MESICNE,1993/4/10 0:00
3788,70,POPLATEK MESICNE,1993/4/10 0:00
1891,32,POPLATEK MESICNE,1993/4/10 0:00
1239,1,POPLATEK MESICNE,1993/4/10 0:00
8321,77,POPLATEK MESICNE,1993/4/12 0:00
3213,51,POPLATEK MESICNE,1993/4/12 0:00
2838,3,POPLATEK TYDNE,1993/4/13 0:00
3644,38,POPLATEK MESICNE,1993/4/13 0:00
4318,33,POPLATEK TYDNE,1993/4/13 0:00
2648,51,POPLATEK MESICNE,1993/4/13 0:00
2313,26,POPLATEK TYDNE,1993/4/13 0:00
5428,24,POPLATEK MESICNE,1993/4/14 0:00
7123,64,POPLATEK PO OBRATU,1993/4/14 0:00
279,39,POPLATEK MESICNE,1993/4/14 0:00
104,37,POPLATEK MESICNE,1993/4/15 0:00
497,55,POPLATEK MESICNE,1993/4/15 0:00
1152,45,POPLATEK MESICNE,1993/4/15 0:00
83,26,POPLATEK MESICNE,1993/4/16 0:00
2008,52,POPLATEK MESICNE,1993/4/16 0:00
3327,45,POPLATEK MESICNE,1993/4/16 0:00
5740,43,POPLATEK MESICNE,1993/4/16 0:00
8132,5,POPLATEK TYDNE,1993/4/17 0:00
10738,45,POPLATEK TYDNE,1993/4/17 0:00
2216,74,POPLATEK MESICNE,1993/4/17 0:00
1815,66,POPLATEK MESICNE,1993/4/17 0:00
2823,57,POPLATEK MESICNE,1993/4/18 0:00
4321,47,POPLATEK MESICNE,1993/4/18 0:00
1773,33,POPLATEK MESICNE,1993/4/19 0:00
7454,4,POPLATEK MESICNE,1993/4/19 0:00
188,54,POPLATEK MESICNE,1993/4/20 0:00
10973,18,POPLATEK TYDNE,1993/4/20 0:00
2599,48,POPLATEK MESICNE,1993/4/20 0:00
1166,11,POPLATEK MESICNE,1993/4/21 0:00
504,73,POPLATEK MESICNE,1993/4/21 0:00
1518,67,POPLATEK MESICNE,1993/4/21 0:00
2189,75,POPLATEK MESICNE,1993/4/22 0:00
6040,1,POPLATEK MESICNE,1993/4/22 0:00
2876,52,POPLATEK MESICNE,1993/4/22 0:00
1505,69,POPLATEK MESICNE,1993/4/23 0:00
6897,48,POPLATEK MESICNE,1993/4/23 0:00
4377,28,POPLATEK MESICNE,1993/4/24 0:00
717,75,POPLATEK MESICNE,1993/4/24 0:00
9707,70,POPLATEK MESICNE,1993/4/24 0:00
2814,72,POPLATEK MESICNE,1993/4/25 0:00
3068,59,POPLATEK MESICNE,1993/4/25 0:00
1476,61,POPLATEK MESICNE,1993/4/26 0:00
897,38,POPLATEK MESICNE,1993/4/26 0:00
977,1,POPLATEK MESICNE,1993/4/26 0:00
2639,17,POPLATEK MESICNE,1993/4/26 0:00
1032,11,POPLATEK MESICNE,1993/4/26 0:00
928,20,POPLATEK MESICNE,1993/4/26 0:00
168,31,POPLATEK MESICNE,1993/4/27 0:00
2175,1,POPLATEK MESICNE,1993/4/27 0:00
10105,55,POPLATEK MESICNE,1993/4/28 0:00
1392,60,POPLATEK MESICNE,1993/4/28 0:00
3697,45,POPLATEK MESICNE,1993/4/29 0:00
5313,40,POPLATEK MESICNE,1993/4/29 0:00
2222,47,POPLATEK MESICNE,1993/5/1 0:00
2641,7,POPLATEK MESICNE,1993/5/2 0:00
5423,15,POPLATEK MESICNE,1993/5/2 0:00
2609,73,POPLATEK MESICNE,1993/5/3 0:00
5472,1,POPLATEK MESICNE,1993/5/4 0:00
2932,72,POPLATEK MESICNE,1993/5/4 0:00
4254,70,POPLATEK MESICNE,1993/5/4 0:00
3965,31,POPLATEK MESICNE,1993/5/4 0:00
10656,8,POPLATEK MESICNE,1993/5/5 0:00
887,1,POPLATEK MESICNE,1993/5/5 0:00
4743,64,POPLATEK MESICNE,1993/5/5 0:00
1048,35,POPLATEK MESICNE,1993/5/5 0:00
1671,6,POPLATEK MESICNE,1993/5/5 0:00
1236,19,POPLATEK MESICNE,1993/5/5 0:00
1822,30,POPLATEK MESICNE,1993/5/5 0:00
3316,28,POPLATEK MESICNE,1993/5/6 0:00
2037,20,POPLATEK MESICNE,1993/5/6 0:00
10079,62,POPLATEK MESICNE,1993/5/6 0:00
3999,35,POPLATEK MESICNE,1993/5/6 0:00
551,77,POPLATEK MESICNE,1993/5/7 0:00
1200,33,POPLATEK MESICNE,1993/5/7 0:00
1161,66,POPLATEK MESICNE,1993/5/8 0:00
5372,48,POPLATEK MESICNE,1993/5/8 0:00
3050,60,POPLATEK MESICNE,1993/5/8 0:00
1784,59,POPLATEK MESICNE,1993/5/8 0:00
1603,1,POPLATEK MESICNE,1993/5/9 0:00
1887,68,POPLATEK MESICNE,1993/5/9 0:00
1644,1,POPLATEK MESICNE,1993/5/9 0:00
1658,73,POPLATEK MESICNE,1993/5/10 0:00
44,32,POPLATEK MESICNE,1993/5/10 0:00
1039,70,POPLATEK TYDNE,1993/5/10 0:00
1071,68,POPLATEK TYDNE,1993/5/10 0:00
2410,54,POPLATEK MESICNE,1993/5/11 0:00
2523,10,POPLATEK MESICNE,1993/5/11 0:00
790,54,POPLATEK MESICNE,1993/5/11 0:00
2583,62,POPLATEK MESICNE,1993/5/11 0:00
1782,8,POPLATEK MESICNE,1993/5/12 0:00
751,3,POPLATEK MESICNE,1993/5/12 0:00
2061,24,POPLATEK MESICNE,1993/5/12 0:00
8261,13,POPLATEK MESICNE,1993/5/12 0:00
2321,35,POPLATEK MESICNE,1993/5/13 0:00
1334,74,POPLATEK MESICNE,1993/5/14 0:00
3649,54,POPLATEK MESICNE,1993/5/14 0:00
555,24,POPLATEK MESICNE,1993/5/15 0:00
3173,39,POPLATEK MESICNE,1993/5/15 0:00
863,71,POPLATEK MESICNE,1993/5/16 0:00
3181,42,POPLATEK MESICNE,1993/5/16 0:00
3210,1,POPLATEK MESICNE,1993/5/17 0:00
489,16,POPLATEK MESICNE,1993/5/17 0:00
947,59,POPLATEK MESICNE,1993/5/17 0:00
3284,64,POPLATEK MESICNE,1993/5/17 0:00
1610,52,POPLATEK MESICNE,1993/5/17 0:00
4225,55,POPLATEK MESICNE,1993/5/18 0:00
1412,64,POPLATEK MESICNE,1993/5/18 0:00
1937,36,POPLATEK MESICNE,1993/5/18 0:00
991,39,POPLATEK MESICNE,1993/5/18 0:00
1180,20,POPLATEK MESICNE,1993/5/19 0:00
2758,70,POPLATEK MESICNE,1993/5/19 0:00
2711,58,POPLATEK MESICNE,1993/5/19 0:00
1652,74,POPLATEK MESICNE,1993/5/20 0:00
3099,70,POPLATEK MESICNE,1993/5/20 0:00
11111,1,POPLATEK MESICNE,1993/5/20 0:00
9591,74,POPLATEK MESICNE,1993/5/20 0:00
9828,11,POPLATEK MESICNE,1993/5/20 0:00
5385,44,POPLATEK TYDNE,1993/5/21 0:00
23,30,POPLATEK MESICNE,1993/5/22 0:00
2645,54,POPLATEK MESICNE,1993/5/22 0:00
2991,19,POPLATEK MESICNE,1993/5/22 0:00
3469,76,POPLATEK MESICNE,1993/5/22 0:00
1851,55,POPLATEK MESICNE,1993/5/23 0:00
3844,67,POPLATEK MESICNE,1993/5/23 0:00
1442,23,POPLATEK MESICNE,1993/5/23 0:00
3064,40,POPLATEK MESICNE,1993/5/23 0:00
3558,4,POPLATEK MESICNE,1993/5/23 0:00
1534,1,POPLATEK MESICNE,1993/5/24 0:00
334,1,POPLATEK MESICNE,1993/5/24 0:00
1786,1,POPLATEK MESICNE,1993/5/25 0:00
1272,40,POPLATEK TYDNE,1993/5/25 0:00
2436,67,POPLATEK MESICNE,1993/5/25 0:00
3796,53,POPLATEK MESICNE,1993/5/25 0:00
119,27,POPLATEK MESICNE,1993/5/25 0:00
3063,72,POPLATEK MESICNE,1993/5/26 0:00
18,43,POPLATEK TYDNE,1993/5/26 0:00
11320,44,POPLATEK MESICNE,1993/5/26 0:00
3888,39,POPLATEK MESICNE,1993/5/27 0:00
1584,30,POPLATEK MESICNE,1993/5/27 0:00
5546,43,POPLATEK MESICNE,1993/5/28 0:00
2029,55,POPLATEK MESICNE,1993/5/29 0:00
10911,1,POPLATEK TYDNE,1993/5/29 0:00
2467,33,POPLATEK MESICNE,1993/5/29 0:00
2962,1,POPLATEK MESICNE,1993/5/30 0:00
165,25,POPLATEK MESICNE,1993/6/1 0:00
1617,45,POPLATEK MESICNE,1993/6/1 0:00
327,54,POPLATEK MESICNE,1993/6/2 0:00
2068,21,POPLATEK MESICNE,1993/6/2 0:00
4448,60,POPLATEK MESICNE,1993/6/2 0:00
640,32,POPLATEKMESICNE,1993/6/2 0:00
510,1,POPLATEK TYDNE,1993/6/2 0:00
2534,61,POPLATEK MESICNE,1993/6/3 0:00
1018,7,POPLATEK MESICNE,1993/6/3 0:00
1285,65,POPLATEK MESICNE,1993/6/4 0:00
3670,27,POPLATEK MESICNE,1993/6/4 0:00
1743,51,POPLATEK MESICNE,1993/6/4 0:00
3072,8,POPLATEK MESICNE,1993/6/5 0:00
2146,31,POPLATEK MESICNE,1993/6/5 0:00
4576,27,POPLATEK MESICNE,1993/6/5 0:00
3258,53,POPLATEK MESICNE,1993/6/5 0:00
2176,67,POPLATEK MESICNE,1993/6/6 0:00
8934,51,POPLATEK MESICNE,1993/6/6 0:00
1999,70,POPLATEK MESICNE,1993/6/6 0:00
2741,15,POPLATEK MESICNE,1993/6/7 0:00
4427,32,POPLATEK MESICNE,1993/6/7 0:00
3682,70,POPLATEK MESICNE,1993/6/7 0:00
2862,33,POPLATEK MESICNE,1993/6/7 0:00
3032,5,POPLATEK MESICNE,1993/6/7 0:00
701,69,POPLATEK MESICNE,1993/6/8 0:00
6281,56,POPLATEK MESICNE,1993/6/8 0:00
306,16,POPLATEK MESICNE,1993/6/8 0:00
1207,67,POPLATEK MESICNE,1993/6/8 0:00
1247,25,POPLATEK MESICNE,1993/6/8 0:00
5343,64,POPLATEK MESICNE,1993/6/8 0:00
5129,68,POPLATEK MESICNE,1993/6/8 0:00
3713,14,POPLATEK TYDNE,1993/6/8 0:00
2327,19,POPLATEK MESICNE,1993/6/8 0:00
774,1,POPLATEK MESICNE,1993/6/8 0:00
1990,1,POPLATEK MESICNE,1993/6/9 0:00
